epoch,dice_coef,iou,loss,lr,precision,recall,val_dice_coef,val_iou,val_loss,val_precision,val_recall
0,0.17279814183712006,0.0947168618440628,0.8272019624710083,1e-04,0.23362040519714355,0.9715964794158936,0.1505032479763031,0.0813898965716362,0.8494967222213745,0.20996971428394318,1.0
1,0.21030516922473907,0.11756084859371185,0.7896949052810669,1e-04,0.288875013589859,0.9958069324493408,0.1509145051240921,0.08163043856620789,0.8490854501724243,0.20996971428394318,1.0
2,0.22691276669502258,0.12801308929920197,0.773087203502655,1e-04,0.29411399364471436,0.9928550720214844,0.15114009380340576,0.08176234364509583,0.8488599061965942,0.20996971428394318,1.0
3,0.24275794625282288,0.1381944715976715,0.7572420239448547,1e-04,0.3089190423488617,0.9626536965370178,0.15099790692329407,0.0816788300871849,0.8490020632743835,0.20996971428394318,1.0
4,0.2674807906150818,0.154462069272995,0.732519268989563,1e-04,0.3620688319206238,0.8588969707489014,0.15067598223686218,0.08149023354053497,0.8493240475654602,0.21001428365707397,0.9998909831047058
5,0.29858827590942383,0.17557916045188904,0.7014117240905762,1e-04,0.4424905478954315,0.7426815629005432,0.1500585675239563,0.08112896978855133,0.8499414324760437,0.20831036567687988,0.93438321352005
6,0.32883524894714355,0.19681142270565033,0.6711647510528564,1e-04,0.5277259945869446,0.6666938662528992,0.14903414249420166,0.08053010702133179,0.8509658575057983,0.11378411948680878,0.12458054721355438
7,0.352677583694458,0.21411733329296112,0.6473223567008972,1e-04,0.5821308493614197,0.6173601150512695,0.14791662991046906,0.07987754791975021,0.8520833849906921,4.7849178372416645e-05,3.633569122030167e-06
8,0.37103214859962463,0.2277817279100418,0.6289678812026978,1e-05,0.6401209235191345,0.5791993141174316,0.14723065495491028,0.07947726547718048,0.8527693748474121,0.0,0.0
9,0.3763502240180969,0.2317993938922882,0.6236497759819031,1e-05,0.6492370963096619,0.5886356234550476,0.14656564593315125,0.07908950001001358,0.8534343838691711,0.0,0.0
10,0.38084644079208374,0.23521718382835388,0.6191535592079163,1e-05,0.6536199450492859,0.6004579067230225,0.1458786427974701,0.07868920266628265,0.8541213870048523,0.0,0.0
11,0.38416820764541626,0.23775620758533478,0.6158317923545837,1e-05,0.6579904556274414,0.6056510210037231,0.14515508711338043,0.07826805859804153,0.854844868183136,0.0,0.0
12,0.38752004504203796,0.24032935500144958,0.6124799251556396,1e-05,0.6668205261230469,0.6029941439628601,0.14440855383872986,0.07783389091491699,0.8555914163589478,0.0,0.0
